RUT;Nombre;Genero;Fecha_Nacimiento;Previsión;Monto_Deuda
16.302.272-9;Andrea Javiera Robles Díaz;FEMENINO;1971/7/11;FONASA;1927225.79
5.03.060-9;Daniela Victoria Ruiz López;FEMENINO;1970/7/23;FONASA;817121.66
12.074.719-9;Francisco Felipe Castro Rojas;MASCULINO;1966/2/22;FONASA;330154.14
19.121.201-0;Cecilia Valeria Díaz González;FEMENINO;1998/4/15;FONASA;483415.05
20.348.342-8;Pablo Vicente Valenzuela Campos;MASCULINO;1978/1/15;ISAPRE;781823.56
14.647.075-5;María Isabel López Campos;FEMENINO;1964/7/18;FONASA;279483.29
15.116.696-3;Javiera Valeria Valenzuela Valenzuela;FEMENINO;1987/5/25;FONASA;667175.29
13.350.486-8;Pedro Bernardo Muñoz Vergara;MASCULINO;1990/5/12;FONASA;1163931.93
14.086.677-4;Pedro Juan Saavedra Quiroga;MASCULINO;1989/9/28;FONASA;1759017.52
6.111.964-8;Daniela Paula Valenzuela López;FEMENINO;2000/11/6;FONASA;1849359.85
6.980.665-5;Isidora Victoria Vergara López;FEMENINO;1976/1/1;ISAPRE;163246.76
13.880.857-6;Juan Gabriel Campos Vergara;MASCULINO;1966/6/30;FONASA;1768683.04
8.594.275-2;Cecilia Daniela Rodríguez Castro;FEMENINO;1970/3/22;FONASA;1428485.37
4.517.042-2;María Victoria Saavedra Quiroga;FEMENINO;1974/9/28;FONASA;1866628.83
14.780.366-5;Francisco Javier Vergara Quiroga;MASCULINO;1974/12/1;ISAPRE;710499.15
13.714.385-0;Victoria Pamela González Saavedra;FEMENINO;1990/2/20;ISAPRE;1200662.76
11.878.247-7;Constanza Cecilia González Valenzuela;FEMENINO;1998/2/28;FONASA;1784254.58
15.359.207-5;Ignacio Andrés Robles Marín;MASCULINO;1977/5/3;FONASA;1108582.82
12.341.380-3;Juan Felipe González Vergara;MASCULINO;1966/7/0;FONASA;963014.98
