RUT;NOMBRE;FECHA_NAC;TIPO_CLIENTE;MONTO;PUNTAJE_CREDITICIO
21.930.631-4;Isabel Blanca Marín Díaz;13-04-97;C;5407949;1.17
11.269.366-8;Cecilia Paula López Valenzuela;28-05-62;A;8153651;2.37
9.655.791-3;Vicente Felipe Robles Muñoz;02-02-72;E;9509104;9.91
16.644.711-4;Daniela María Robles Ruiz;07-07-82;B;6065538;2.86
17.054.286-6;Isabel Javiera Valenzuela Saavedra;05-07-71;C;8024077;0.56
11.170.160-6;Vicente Vicente Marín Vergara;11-07-71;C;4056141;5.98
6.172.108-0;Pamela Isabel Castro Vergara;11-05-76;C;3061858;3.09
15.844.106-2;Daniela Pamela Saavedra Vergara;14-06-79;C;5197540;2.26
20.749.832-5;Felipe Andrés Rodríguez Valenzuela;09-02-73;E;4441737;8.18
15.910.648-9;Bernardo Ignacio Quiroga Muñoz;03-02-68;B;8613487;3.44
9.487.844-9;Javier Juan Castro Campos;1985-3-0;B;8030691;2.7
7.271.618-0;Isidora Andrea Rodríguez Valenzuela;29-09-76;B;5832527;8.08
13.674.785-2;Javier Juan Robles Robles;23-07-73;A;469341;2.81
17.452.036-6;Ramón Vicente Vergara Robles;16-07-97;E;8845556;5.9
20.481.183-10;Andrés Francisco López López;27-07-77;E;6285039;4.68
6.355.671-0;Rodrigo Andrés Valenzuela Valenzuela;01-10-70;B;668186;9.84
5.814.759-5;Andrés Felipe Quiroga Robles;17-07-90;E;7790975;0.91
15.452.563-10;Gabriel Vicente Castro Robles;11-06-85;B;3156647;7.26
8.471.223-1;Felipe Andrés Robles Rodríguez;06-05-70;E;7976926;9.06
7.699.998-8;Ignacia Paula Díaz Quiroga;17-10-79;A;1836607;0.33
6.585.431-9;Isabel Daniela Rojas Ruiz;12-02-85;C;6156115;1.86
7.625.542-2;Ignacio Pedro Quiroga Muñoz;03-01-85;A;5766978;7.7
7.371.571-0;Bernardo Ramón Robles Rojas;11-01-86;A;798432;2.9
14.366.049-8;Cecilia Andrea Marín Rodríguez;27-03-80;B;5529268;0.04
7.253.687-8;Daniela Ignacia Ruiz Robles;15-08-68;B;4308160;1.18
7.388.099-7;Javier Ignacio Marín Quiroga;30-11-81;D;9073406;7.95
18.176.562-10;Francisco Pablo Robles Ruiz;06-11-62;B;8729016;3.45
4.024.185-5;Andrés Bernardo Vergara Ruiz;15-02-85;A;4148916;5.75
4.752.072-8;Rodrigo Javier Rodríguez Ruiz;26-10-90;C;6445414;3.34
17.021.916-10;Felipe Pedro Campos Díaz;08-05-84;E;1044883;6.88
15.146.719-2;Felipe Alejandro Valenzuela Vergara;16-03-88;A;2934984;6.47
18.641.375-4;María Isidora Díaz Vergara;04-02-95;C;3055413;5.21
9.454.495-9;Constanza Paula Muñoz Quiroga;09-01-95;A;6346885;4.43
5.246.833-1;María Daniela González Muñoz;08-07-78;C;465163;0.2
15.647.429-2;Vicente Rodrigo Valenzuela Rodríguez;17-06-99;D;7811706;7.78
18.646.439-5;Constanza Daniela Castro Díaz;26-08-67;E;2656694;5.21
20.834.306-5;Blanca Isidora Quiroga Quiroga;25-07-96;E;8480735;7.56
9.873.492-8;Alejandro Juan Díaz Vergara;13-10-90;C;6518965;4.19
12.381.154-1;Isabel Pamela Ruiz Rodríguez;09-08-77;D;3394144;5.88
9.342.198-9;Andrea Valeria Ruiz Vergara;12-07-82;B;4937619;2.21
18.104.596-8;Pamela Andrea Robles Muñoz;04-09-90;C;1304240;3.58
6.525.881-9;Pedro Rodrigo Campos Castro;15-11-00;A;9653610;0.6
8.466.885-4;Andrea Blanca Rodríguez González;03-08-86;A;4888973;1.23
7.295.481-2;Valeria Ignacia Quiroga Rodríguez;01-08-88;B;5214119;5.04
11.651.375-8;Constanza Pamela González Marín;04-06-72;A;6225117;3
11.531.171-7;Vicente Francisco Rodríguez Rodríguez;12-04-99;A;1847833;2.14
