RUT;Nombre;Genero;Fecha_Nacimiento;Previsión;Monto_Deuda
15.315.490-8;Pablo-Pablo-Robles-Vergara;MASCULINO;1970_/1/29;FONASA;948404
11.132XXXX;Isidora-Javiera-Marín-López;FEMENINO;1995/1/3;ISAPRE;631068
4.282.714-4;JavieraXXXX;FEMENINO;1968_/2/2;ISAPRE;1133133
14.555XXXX;Daniela-Javiera-López-López;FEMENINO;1999/4/2;FONASA;446660
19.424.747-5;Javiera-Cecilia-Ruiz-Robles;FEMENINO;2000/3/10;FONASA;1503764
21.510.062-2;Cecilia-Victoria-Rodríguez-Castro;FEMENINO;1992/6/6;ISAPRE;393338
7.856.833-3;Andrea-Daniela-Rodríguez-González;FEMENINO;1992/11/8;FONASA;484221
13.595.733-3;Bernardo-Javier-Robles-Quiroga;MASCULINO;1974/6/25;FONASA;1830819
19.236.507-0;Rodrigo-Andrés-González-Muñoz;MASCULINO;1985/12/20;FONASA;1225660
9.403.320-8;Pablo-Gabriel-Marín-Quiroga;MASCULINO;1989/4/1;FONASA;1293308
9.999XXXX;Pablo-Gabriel-Valenzuela-Castro;MASCULINO;1989/6/22;ISAPRE;861742
8.712XXXX;Andrea-Daniela-Rojas-Marín;FEMENINO;1961/5/3;FONASA;497015
19.648.604-6;Ignacio-Ramón-Marín-Ruiz;MASCULINO;1978/10/19;ISAPRE;1931101
4.170.369-7;Daniela-Cecilia-Muñoz-Muñoz;FEMENINO;1985/9/19;ISAPRE;105217
8.657.885-5;Paula-Isidora-López-Marín;FEMENINO;1983/9/7;FONASA;1825336
4.026.378-8;Blanca-Daniela-Quiroga-Muñoz;FEMENINO;1960/5/5;FONASA;1275880
10.815.423-5;Felipe-Javier-Marín-López;MASCULINO;1977/5/29;ISAPRE;1328543
14.232.920-8;Javier-Javier-Campos-López;MASCULINO;1982_/12/3;FONASA;325927
15.666.705-4;Javiera-Isidora-López-González;FEMENINO;1960/7/0;ISAPRE;1535777
9.645.849-6;Ramón-Francisco-Rodríguez-Valenzuela;MASCULINO;1971/1/5;FONASA;1496352
7.128XXXX;Isidora-Daniela-Robles-Quiroga;FEMENINO;1970/6/10;ISAPRE;264129
20.682.155-1;Isidora-Javiera-Robles-Rodríguez;FEMENINO;1968/11/14;ISAPRE;354526
9.071.903-8;Andrea-Pamela-Rodríguez-Castro;FEMENINO;1989/1/23;FONASA;1305953
15.306.390-0;Ignacio-Pablo-López-Saavedra;MASCULINO;1963/10/8;FONASA;1664177
11.072.407-5;Alejandro-Juan-Marín-Campos;MASCULINO;2000/6/19;ISAPRE;1139686
17.891.964-9;María-Blanca-González-López;FEMENINO;1969/9/30;FONASA;1998372
17.291.815-5;Ignacia-Javiera-Castro-Díaz;FEMENINO;1988/5/11;ISAPRE;1581299
6.687XXXX;Pamela-Cecilia-Marín-Valenzuela;FEMENINO;1976/11/18;ISAPRE;491886
4.270.877-6;Pablo-Ramón-López-Valenzuela;MASCULINO;1972/10/13;ISAPRE;186139
19.067.078-5;Constanza-Daniela-Rodríguez-Robles;FEMENINO;1962/8/22;ISAPRE;557135
10.587.080-1;Juan-Gabriel-Campos-Rojas;MASCULINO;1971/9/16;ISAPRE;282985
10.253.357-9;Francisco-Alejandro-Valenzuela-Rodríguez;MASCULINO;1981/10/19;ISAPRE;1458109
9.615.848-0;María-Constanza-Quiroga-Ruiz;FEMENINO;1997_/4/28;FONASA;125523
15.185.382-4;Javiera-Cecilia-Campos-Díaz;FEMENINO;1992/11/2;FONASA;1803478
14.855.949-7;Francisco-Bernardo-Vergara-González;MASCULINO;1989/4/12;ISAPRE;628553
11.672.250-3;Pamela-Pamela-Rojas-Rodríguez;FEMENINO;1969/11/18;ISAPRE;1656312
18.087.559-9;Valeria-Constanza-Quiroga-Muñoz;FEMENINO;1967/6/1;FONASA;160414
11.712XXXX;Rodrigo-Pablo-López-Robles;MASCULINO;1967/3/30;FONASA;521990
14.437.248-2;Blanca-Blanca-Marín-Rodríguez;FEMENINO;1990/5/5;FONASA;1921192
4.669.048-7;Javiera-Ignacia-Quiroga-Rojas;FEMENINO;1968/12/28;FONASA;1022448
11.367.148-2;AndrésXXXX;MASCULINO;1998/11/24;FONASA;217484
20.569.526-1;FelipeXXXX;MASCULINO;1989/10/27;ISAPRE;490680
10.993.530-7;Ignacio-Javier-Rodríguez-Díaz;MASCULINO;1987/9/8;FONASA;424774
6.819.479-7;Pamela-María-Díaz-Díaz;FEMENINO;1987/9/15;FONASA;276092
4.398.275-7;Javiera-Pamela-Saavedra-Saavedra;FEMENINO;1968/1/13;FONASA;1807906
13.401.879-7;Javier-Vicente-López-Marín;MASCULINO;1982/5/4;ISAPRE;600248
6.833.710-9;Valeria-Andrea-Robles-López;FEMENINO;1971/6/18;FONASA;1327198
12.586.467-6;Blanca-Pamela-Quiroga-Ruiz;FEMENINO;1983/10/15;ISAPRE;1709366
9.078.186-8;Paula-Isabel-Valenzuela-Quiroga;FEMENINO;1999/7/29;FONASA;200235
12.367.054-0;Paula-Paula-Marín-Vergara;FEMENINO;1968/2/28;FONASA;1224651
20.034.565-0;Paula-Valeria-Castro-Rojas;FEMENINO;1999/2/12;ISAPRE;590646
19.888.527-1;Javier-Pedro-Robles-Vergara;MASCULINO;1964/8/13;FONASA;463778
17.800.143-5;Cecilia-Isidora-Castro-Saavedra;FEMENINO;1979/8/5;FONASA;1525193
