Fecha_Hora_Consulta;RUT;Especialidad;Diag;RUT2;Costo_consulta
2018-11-15;15.439.959-0;Cardiología;Enfermedad 6;20.066.428-9;21000
2018-02-27;6.369.292-4;Medicina General;Enfermedad 0;10.380.018-6;14000
2018-03-02;16.566.679-4;Cardiología;Enfermedad 6;17.552.891-4;20000
2018-09-18;18.124.934-0;Cardiología;Enfermedad 6;20.833.661-5;31000
2018-08-27;18.993.070-0;Cardiología;Enfermedad 6;20.066.428-9;18000
2018-07-09;16.155.602-8;Dermatología;Enfermedad 3;14.954.461-1;23000
2018-07-26;21.553.711-7;Cardiología;Enfermedad 6;9.843.278-9;40000
2018-04-21;12.813.415-7;Dermatología;Enfermedad 3;13.888.905-2;27000
2018-06-08;18.434.658-2;Dermatología;Enfermedad 3;11.541.171-8;45000
2018-01-22;8.258.073-8;Cardiología;Enfermedad 6;7.449.554-6;39000
2018-04-22;11.336.204-6;Dermatología;Enfermedad 3;13.888.905-2;NaN
2018-12-26;15.414.868-6;Dermatología;Enfermedad 3;17.827.973-4;19000
2018-09-14;21.967.425-2;Cardiología;Enfermedad 6;17.827.973-4;25000
2018-02-20;7.573.862-1;Cardiología;Enfermedad 6;9.843.278-9;23000
2018-05-17;4.470.159-8;Medicina General;Enfermedad 0;16.940.133-6;28000
2018-02-01;17.644.117-3;Dermatología;Enfermedad 3;17.552.891-4;NaN
2018-03-09;7.403.217-8;Cardiología;Enfermedad 6;19.877.621-7;24000
2018-05-27;20.562.330-1;Cardiología;Enfermedad 6;20.395.046-6;16000
2018-08-20;14.365.442-4;Medicina General;Enfermedad 0;17.827.973-4;32000
2018-07-18;21.427.013-0;Medicina General;Enfermedad 0;13.888.905-2;29000
2018-07-22;16.241.406-5;Dermatología;Enfermedad 3;14.954.461-1;NaN
2018-03-19;7.582.423-1;Medicina General;Enfermedad 0;18.278.361-1;18000
2018-05-01;21.347.791-0;Medicina General;Enfermedad 0;20.677.679-0;NaN
2018-06-24;15.314.101-2;Medicina General;Enfermedad 0;17.552.891-4;19000
2018-02-02;18.171.270-5;Cardiología;Enfermedad 6;14.954.461-1;NaN
2018-02-04;14.371.466-8;Cardiología;Enfermedad 6;9.863.883-7;36000
2018-11-28;5.632.295-5;Cardiología;Enfermedad 6;20.066.428-9;44000
2018-09-18;5.790.660-6;Cardiología;Enfermedad 6;10.372.316-3;NaN
2018-12-16;13.880.857-6;Cardiología;Enfermedad 6;17.552.891-4;16000
2018-07-28;7.041.200-6;Medicina General;Enfermedad 0;7.449.554-6;20000
2018-04-22;13.670.850-8;Dermatología;Enfermedad 3;20.677.679-0;21000
2018-06-04;19.580.363-0;Medicina General;Enfermedad 0;13.888.905-2;30000
2018-03-16;7.137.768-7;Medicina General;Enfermedad 0;20.833.661-5;40000
2018-07-06;12.067.241-1;Medicina General;Enfermedad 0;19.877.621-7;28000
2018-05-27;16.091.944-2;Dermatología;Enfermedad 3;17.552.891-4;23000
2018-11-26;6.489.018-0;Dermatología;Enfermedad 3;17.552.891-4;45000
2018-07-13;7.582.423-1;Medicina General;Enfermedad 0;11.541.171-8;13000
2018-06-22;21.270.301-0;Cardiología;Enfermedad 6;9.770.390-5;NaN
2018-10-15;11.600.922-1;Dermatología;Enfermedad 3;11.541.171-8;NaN
2018-06-21;5.713.107-4;Medicina General;Enfermedad 0;20.677.679-0;35000
2018-02-08;5.790.660-6;Dermatología;Enfermedad 3;13.888.905-2;21000
2018-11-26;6.038.149-6;Medicina General;Enfermedad 0;20.833.661-5;28000
2018-11-19;18.183.507-8;Medicina General;Enfermedad 0;17.552.891-4;44000
2018-12-16;16.538.020-6;Medicina General;Enfermedad 0;14.954.461-1;39000
2018-08-19;14.799.844-8;Medicina General;Enfermedad 0;13.125.344-3;21000
2018-04-09;18.710.234-9;Cardiología;Enfermedad 6;18.945.380-7;29000
2018-11-23;6.415.057-3;Dermatología;Enfermedad 3;11.650.382-8;33000
2018-04-15;20.773.563-4;Dermatología;Enfermedad 3;9.770.390-5;20000
2018-11-10;14.273.468-3;Medicina General;Enfermedad 0;16.940.133-6;23000
2018-05-12;21.267.886-4;Dermatología;Enfermedad 3;15.444.577-3;31000
